VehicleJourneyCode,LineRef,ServiceRef,JourneyPatternRef,DepartureTime,OperatorRef,TicketMachineJourneyCode,Date,Day_of_Week,Hour_of_Day,Actual_Delay_Minutes,Live_Traffic_Index,LineName,Route_Type
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-01,Monday,9,9,1.9,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-01,Monday,11,9,1.2,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-01,Monday,10,0,0.0,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-01,Monday,10,3,0.1,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-01,Monday,11,6,0.7,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-01,Monday,12,0,0.1,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-02,Tuesday,9,14,1.4,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-02,Tuesday,11,8,1.5,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-02,Tuesday,10,3,1.4,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-02,Tuesday,10,4,0.7,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-02,Tuesday,11,9,2.3,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-02,Tuesday,12,7,0.3,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-03,Wednesday,9,10,2.1,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-03,Wednesday,11,8,1.1,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-03,Wednesday,10,3,1.3,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-03,Wednesday,10,4,0.0,597,City Service
