Date,Day_of_Week,LineName,Route_Type,DepartureTime,Hour_of_Day,Live_Traffic_Index,Actual_Delay_Minutes
2024-01-01,Monday,597,City Service,08:00:00,8,2.8,8
2024-01-01,Monday,597,City Service,09:00:00,9,2.9,11
2024-01-01,Monday,597,City Service,10:00:00,10,2.5,6
2024-01-01,Monday,597,City Service,11:00:00,11,2.0,6
2024-01-01,Monday,597,City Service,12:00:00,12,0.8,4
2024-01-01,Monday,597,City Service,13:00:00,13,0.1,4
2024-01-01,Monday,597,City Service,14:00:00,14,1.8,9
2024-01-01,Monday,597,City Service,15:00:00,15,0.6,3
2024-01-01,Monday,597,City Service,16:00:00,16,2.0,11
2024-01-01,Monday,597,City Service,17:00:00,17,1.0,9
2024-01-01,Monday,597,City Service,18:00:00,18,2.0,12
2024-01-01,Monday,598,Commuter Express,08:00:00,8,2.9,14
2024-01-01,Monday,598,Commuter Express,09:00:00,9,1.9,11
2024-01-01,Monday,598,Commuter Express,10:00:00,10,2.6,9
2024-01-01,Monday,598,Commuter Express,11:00:00,11,1.4,7
2024-01-01,Monday,598,Commuter Express,12:00:00,12,2.2,6
2024-01-01,Monday,598,Commuter Express,13:00:00,13,2.2,4
2024-01-01,Monday,598,Commuter Express,14:00:00,14,0.0,5
2024-01-01,Monday,598,Commuter Express,15:00:00,15,0.3,8
2024-01-01,Monday,598,Commuter Express,16:00:00,16,2.3,12
2024-01-01,Monday,598,Commuter Express,17:00:00,17,3.6,20
2024-01-01,Monday,598,Commuter Express,18:00:00,18,3.8,15
2024-01-02,Tuesday,597,City Service,08:00:00,8,1.4,14
2024-01-02,Tuesday,597,City Service,09:00:00,9,2.5,11
2024-01-02,Tuesday,597,City Service,10:00:00,10,1.5,5
2024-01-02,Tuesday,597,City Service,11:00:00,11,0.6,4
2024-01-02,Tuesday,597,City Service,12:00:00,12,0.2,6
2024-01-02,Tuesday,597,City Service,13:00:00,13,0.3,5
2024-01-02,Tuesday,597,City Service,14:00:00,14,0.0,6
2024-01-02,Tuesday,597,City Service,15:00:00,15,2.6,10
2024-01-02,Tuesday,597,City Service,16:00:00,16,4.0,17
2024-01-02,Tuesday,597,City Service,17:00:00,17,1.4,7
2024-01-02,Tuesday,597,City Service,18:00:00,18,2.1,12
2024-01-02,Tuesday,598,Commuter Express,08:00:00,8,2.2,10
2024-01-02,Tuesday,598,Commuter Express,09:00:00,9,2.9,12
2024-01-02,Tuesday,598,Commuter Express,10:00:00,10,0.0,6
2024-01-02,Tuesday,598,Commuter Express,11:00:00,11,1.2,4
2024-01-02,Tuesday,598,Commuter Express,12:00:00,12,1.3,6
2024-01-02,Tuesday,598,Commuter Express,13:00:00,13,1.4,5
2024-01-02,Tuesday,598,Commuter Express,14:00:00,14,0.0,5
2024-01-02,Tuesday,598,Commuter Express,15:00:00,15,1.8,2
2024-01-02,Tuesday,598,Commuter Express,16:00:00,16,2.5,16
2024-01-02,Tuesday,598,Commuter Express,17:00:00,17,3.7,18
2024-01-02,Tuesday,598,Commuter Express,18:00:00,18,2.6,13
2024-01-03,Wednesday,597,City Service,08:00:00,8,3.7,13
2024-01-03,Wednesday,597,City Service,09:00:00,9,2.0,13
2024-01-03,Wednesday,597,City Service,10:00:00,10,0.5,2
2024-01-03,Wednesday,597,City Service,11:00:00,11,0.3,4
2024-01-03,Wednesday,597,City Service,12:00:00,12,0.7,4
2024-01-03,Wednesday,597,City Service,13:00:00,13,2.9,8
2024-01-03,Wednesday,597,City Service,14:00:00,14,0.7,3
2024-01-03,Wednesday,597,City Service,15:00:00,15,1.7,4
2024-01-03,Wednesday,597,City Service,16:00:00,16,0.6,9
2024-01-03,Wednesday,597,City Service,17:00:00,17,2.9,20
2024-01-03,Wednesday,597,City Service,18:00:00,18,4.3,17
2024-01-03,Wednesday,598,Commuter Express,08:00:00,8,1.4,9
2024-01-03,Wednesday,598,Commuter Express,09:00:00,9,2.3,16
2024-01-03,Wednesday,598,Commuter Express,10:00:00,10,0.2,6
2024-01-03,Wednesday,598,Commuter Express,11:00:00,11,0.0,4
2024-01-03,Wednesday,598,Commuter Express,12:00:00,12,3.0,8
2024-01-03,Wednesday,598,Commuter Express,13:00:00,13,0.7,3
2024-01-03,Wednesday,598,Commuter Express,14:00:00,14,0.0,5
2024-01-03,Wednesday,598,Commuter Express,15:00:00,15,0.8,4
2024-01-03,Wednesday,598,Commuter Express,16:00:00,16,1.8,15
2024-01-03,Wednesday,598,Commuter Express,17:00:00,17,2.4,12
2024-01-03,Wednesday,598,Commuter Express,18:00:00,18,4.3,14
2024-01-04,Thursday,597,City Service,08:00:00,8,3.2,12
2024-01-04,Thursday,597,City Service,09:00:00,9,3.4,15
2024-01-04,Thursday,597,City Service,10:00:00,10,1.6,3
2024-01-04,Thursday,597,City Service,11:00:00,11,2.4,7
2024-01-04,Thursday,597,City Service,12:00:00,12,2.4,7
2024-01-04,Thursday,597,City Service,13:00:00,13,2.9,10
2024-01-04,Thursday,597,City Service,14:00:00,14,2.1,7
2024-01-04,Thursday,597,City Service,15:00:00,15,1.0,4
2024-01-04,Thursday,597,City Service,16:00:00,16,1.6,14
2024-01-04,Thursday,597,City Service,17:00:00,17,4.3,17
2024-01-04,Thursday,597,City Service,18:00:00,18,3.0,13
2024-01-04,Thursday,598,Commuter Express,08:00:00,8,3.3,13
2024-01-04,Thursday,598,Commuter Express,09:00:00,9,2.2,13
2024-01-04,Thursday,598,Commuter Express,10:00:00,10,1.2,5
2024-01-04,Thursday,598,Commuter Express,11:00:00,11,2.5,5
2024-01-04,Thursday,598,Commuter Express,12:00:00,12,1.9,4
2024-01-04,Thursday,598,Commuter Express,13:00:00,13,1.4,8
2024-01-04,Thursday,598,Commuter Express,14:00:00,14,0.4,3
2024-01-04,Thursday,598,Commuter Express,15:00:00,15,0.0,2
2024-01-04,Thursday,598,Commuter Express,16:00:00,16,0.7,9
2024-01-04,Thursday,598,Commuter Express,17:00:00,17,0.9,6
2024-01-04,Thursday,598,Commuter Express,18:00:00,18,4.0,18
2024-01-05,Friday,597,City Service,08:00:00,8,5.3,20
2024-01-05,Friday,597,City Service,09:00:00,9,2.4,14
2024-01-05,Friday,597,City Service,10:00:00,10,0.0,3
2024-01-05,Friday,597,City Service,11:00:00,11,0.5,4
2024-01-05,Friday,597,City Service,12:00:00,12,0.9,9
2024-01-05,Friday,597,City Service,13:00:00,13,2.2,6
2024-01-05,Friday,597,City Service,14:00:00,14,1.3,4
2024-01-05,Friday,597,City Service,15:00:00,15,2.7,6
2024-01-05,Friday,597,City Service,16:00:00,16,1.5,10
2024-01-05,Friday,597,City Service,17:00:00,17,2.8,17
2024-01-05,Friday,597,City Service,18:00:00,18,3.1,15
2024-01-05,Friday,598,Commuter Express,08:00:00,8,3.0,16
2024-01-05,Friday,598,Commuter Express,09:00:00,9,2.2,16
2024-01-05,Friday,598,Commuter Express,10:00:00,10,0.1,6
2024-01-05,Friday,598,Commuter Express,11:00:00,11,1.3,7
2024-01-05,Friday,598,Commuter Express,12:00:00,12,1.3,8
2024-01-05,Friday,598,Commuter Express,13:00:00,13,0.0,4
2024-01-05,Friday,598,Commuter Express,14:00:00,14,1.7,8
2024-01-05,Friday,598,Commuter Express,15:00:00,15,1.2,8
2024-01-05,Friday,598,Commuter Express,16:00:00,16,3.0,10
2024-01-05,Friday,598,Commuter Express,17:00:00,17,2.0,7
2024-01-05,Friday,598,Commuter Express,18:00:00,18,4.5,18
2024-01-06,Saturday,597,City Service,08:00:00,8,1.2,11
2024-01-06,Saturday,597,City Service,09:00:00,9,0.4,8
2024-01-06,Saturday,597,City Service,10:00:00,10,0.1,1
2024-01-06,Saturday,597,City Service,11:00:00,11,2.2,4
2024-01-06,Saturday,597,City Service,12:00:00,12,1.6,2
2024-01-06,Saturday,597,City Service,13:00:00,13,0.8,3
2024-01-06,Saturday,597,City Service,14:00:00,14,0.5,0
2024-01-06,Saturday,597,City Service,15:00:00,15,0.0,4
2024-01-06,Saturday,597,City Service,16:00:00,16,0.0,4
2024-01-06,Saturday,597,City Service,17:00:00,17,0.0,4
2024-01-06,Saturday,597,City Service,18:00:00,18,2.7,8
2024-01-06,Saturday,598,Commuter Express,08:00:00,8,1.6,9
2024-01-06,Saturday,598,Commuter Express,09:00:00,9,0.2,4
2024-01-06,Saturday,598,Commuter Express,10:00:00,10,1.2,3
2024-01-06,Saturday,598,Commuter Express,11:00:00,11,0.1,1
2024-01-06,Saturday,598,Commuter Express,12:00:00,12,1.3,3
2024-01-06,Saturday,598,Commuter Express,13:00:00,13,0.9,1
2024-01-06,Saturday,598,Commuter Express,14:00:00,14,1.2,3
2024-01-06,Saturday,598,Commuter Express,15:00:00,15,0.7,1
2024-01-06,Saturday,598,Commuter Express,16:00:00,16,0.8,8
2024-01-06,Saturday,598,Commuter Express,17:00:00,17,1.2,10
2024-01-06,Saturday,598,Commuter Express,18:00:00,18,2.6,6
2024-01-07,Sunday,597,City Service,08:00:00,8,2.0,7
2024-01-07,Sunday,597,City Service,09:00:00,9,0.5,7
2024-01-07,Sunday,597,City Service,10:00:00,10,1.0,3
2024-01-07,Sunday,597,City Service,11:00:00,11,0.0,2
2024-01-07,Sunday,597,City Service,12:00:00,12,0.7,1
2024-01-07,Sunday,597,City Service,13:00:00,13,2.0,3
2024-01-07,Sunday,597,City Service,14:00:00,14,0.0,1
2024-01-07,Sunday,597,City Service,15:00:00,15,0.7,3
2024-01-07,Sunday,597,City Service,16:00:00,16,2.4,6
2024-01-07,Sunday,597,City Service,17:00:00,17,1.4,8
2024-01-07,Sunday,597,City Service,18:00:00,18,2.6,7
2024-01-07,Sunday,598,Commuter Express,08:00:00,8,1.2,2
2024-01-07,Sunday,598,Commuter Express,09:00:00,9,0.4,4
2024-01-07,Sunday,598,Commuter Express,10:00:00,10,1.2,2
2024-01-07,Sunday,598,Commuter Express,11:00:00,11,0.7,3
2024-01-07,Sunday,598,Commuter Express,12:00:00,12,0.4,2
2024-01-07,Sunday,598,Commuter Express,13:00:00,13,0.0,1
2024-01-07,Sunday,598,Commuter Express,14:00:00,14,0.0,2
2024-01-07,Sunday,598,Commuter Express,15:00:00,15,0.0,2
2024-01-07,Sunday,598,Commuter Express,16:00:00,16,1.2,7
2024-01-07,Sunday,598,Commuter Express,17:00:00,17,2.1,6
2024-01-07,Sunday,598,Commuter Express,18:00:00,18,2.1,10
2024-01-08,Monday,597,City Service,08:00:00,8,1.4,14
2024-01-08,Monday,597,City Service,09:00:00,9,4.5,16
2024-01-08,Monday,597,City Service,10:00:00,10,0.8,5
2024-01-08,Monday,597,City Service,11:00:00,11,1.0,7
2024-01-08,Monday,597,City Service,12:00:00,12,1.8,2
2024-01-08,Monday,597,City Service,13:00:00,13,1.8,7
2024-01-08,Monday,597,City Service,14:00:00,14,1.6,7
2024-01-08,Monday,597,City Service,15:00:00,15,1.9,5
2024-01-08,Monday,597,City Service,16:00:00,16,2.1,13
2024-01-08,Monday,597,City Service,17:00:00,17,3.2,15
2024-01-08,Monday,597,City Service,18:00:00,18,2.3,9
2024-01-08,Monday,598,Commuter Express,08:00:00,8,3.5,10
2024-01-08,Monday,598,Commuter Express,09:00:00,9,3.8,14
2024-01-08,Monday,598,Commuter Express,10:00:00,10,1.6,2
2024-01-08,Monday,598,Commuter Express,11:00:00,11,0.2,2
2024-01-08,Monday,598,Commuter Express,12:00:00,12,2.0,3
2024-01-08,Monday,598,Commuter Express,13:00:00,13,1.2,3
2024-01-08,Monday,598,Commuter Express,14:00:00,14,0.0,4
2024-01-08,Monday,598,Commuter Express,15:00:00,15,2.3,7
2024-01-08,Monday,598,Commuter Express,16:00:00,16,2.9,18
2024-01-08,Monday,598,Commuter Express,17:00:00,17,3.0,19
2024-01-08,Monday,598,Commuter Express,18:00:00,18,4.8,22
2024-01-09,Tuesday,597,City Service,08:00:00,8,2.8,18
2024-01-09,Tuesday,597,City Service,09:00:00,9,0.0,1
2024-01-09,Tuesday,597,City Service,10:00:00,10,0.2,5
2024-01-09,Tuesday,597,City Service,11:00:00,11,0.4,1
2024-01-09,Tuesday,597,City Service,12:00:00,12,0.9,3
2024-01-09,Tuesday,597,City Service,13:00:00,13,1.5,3
2024-01-09,Tuesday,597,City Service,14:00:00,14,2.0,6
2024-01-09,Tuesday,597,City Service,15:00:00,15,0.2,4
2024-01-09,Tuesday,597,City Service,16:00:00,16,2.4,17
2024-01-09,Tuesday,597,City Service,17:00:00,17,1.7,15
2024-01-09,Tuesday,597,City Service,18:00:00,18,3.0,11
2024-01-09,Tuesday,598,Commuter Express,08:00:00,8,2.9,20
2024-01-09,Tuesday,598,Commuter Express,09:00:00,9,0.3,7
2024-01-09,Tuesday,598,Commuter Express,10:00:00,10,0.6,5
2024-01-09,Tuesday,598,Commuter Express,11:00:00,11,0.0,6
2024-01-09,Tuesday,598,Commuter Express,12:00:00,12,0.0,7
2024-01-09,Tuesday,598,Commuter Express,13:00:00,13,0.1,8
2024-01-09,Tuesday,598,Commuter Express,14:00:00,14,1.4,6
2024-01-09,Tuesday,598,Commuter Express,15:00:00,15,2.4,7
2024-01-09,Tuesday,598,Commuter Express,16:00:00,16,1.3,13
2024-01-09,Tuesday,598,Commuter Express,17:00:00,17,4.8,20
2024-01-09,Tuesday,598,Commuter Express,18:00:00,18,3.2,12
2024-01-10,Wednesday,597,City Service,08:00:00,8,0.9,12
2024-01-10,Wednesday,597,City Service,09:00:00,9,2.5,17
2024-01-10,Wednesday,597,City Service,10:00:00,10,0.5,5
2024-01-10,Wednesday,597,City Service,11:00:00,11,2.5,6
2024-01-10,Wednesday,597,City Service,12:00:00,12,0.7,7
2024-01-10,Wednesday,597,City Service,13:00:00,13,0.7,6
